bus_garage_id,bus_garage
1,"Garage Not Available"
2,"Barking (East London Buses)"
3,Bow
4,Stockwell
5,Camberwell
6,"Edgware (Sovereign)"
7,Putney
8,Cricklewood
9,"Willesden Junction"
10,Holloway
11,"Lea Interchange"
12,"Wood Green"
13,"Atlas Road"
14,"Fulwell (London United)"
15,"New Cross"
16,Clapton
17,"Mandela Way (London General)"
18,Norwood
19,Merton
20,"King'S Cross"
21,Catford
22,"Battersea (Abellio London)"
23,Leyton
24,Brixton
25,Grays
26,"Stamford Hill"
27,Plumstead
28,Willesden
29,Perivale
30,Sutton
31,Hounslow
32,"Potters Bar"
33,Tolworth
34,"Romford (East London Buses)"
35,"Croydon (Arriva)"
36,Bromley
37,Peckham
38,"Thornton Heath"
39,Bexleyheath
40,"West Perivale"
41,"Harrow Weald"
42,"Shepherds Bush"
43,"Palmers Green"
44,Watford
45,"Rainham (East London Buses)"
46,"Ash Grove (Arriva)"
47,"Beddington (Abellio London)"
48,"River Road"
49,Tottenham
50,Brentford
51,Enfield
52,"Barking (Arriva)"
53,"Hackney Ash Grove"
54,"Orpington (Metrobus)"
55,"Croydon (Metrobus)"
56,"West Ham"
57,Silvertown
58,Dartford
59,"Hayes (Metroline)"
60,Walworth
61,"Park Royal"
62,Alperton
63,"Twickenham (Abellio London W)"
64,Belvedere
65,Harrow
66,"Edgware (Metroline)"
67,"Greenford (Metroline)"
68,"Northumberland Park"
69,"Hounslow Heath"
70,Waterloo
71,"Stamford Brook"
72,"Hayes (Abellio London W)"
73,"Waterside Way"
74,Uxbridge
75,Epsom
76,"Westbourne Park"
77,Heathrow
78,"South Mimms"
79,Edmonton
80,Hatfield
81,"Walthamstow Avenue"
82,Southall
83,"Morden Wharf Road"
84,"Kangley Bridge Road"
